u,v,usage,pop_affected,pop_lost,score
1424618655,1424618659,138052,0,0,
1424618948,1424618958,138005,0,0,
1424618655,6330030043,137642,0,0,
1428213618,9605439109,137639,0,0,
1832898970,3437213998,137496,0,0,
1424618942,1424618948,137376,0,0,
3437213998,4821878484,137370,0,0,
1428213550,9605439109,137269,0,0,
1431135562,1431135574,137013,0,0,
1428213501,1428213550,136410,0,0,
1428213345,1428213357,136326,0,0,
1424396481,12095037281,136013,0,0,
1428104714,1428104723,134736,0,0,
3887415587,12095037281,134371,0,0,
4821878484,11837137597,134323,0,0,
1431073049,1431073051,134308,0,0,
1431073051,1431106181,134217,0,0,
1424618942,1424618961,134172,0,0,
1428213345,10058064473,134008,0,0,
4821904315,11837137597,133953,0,0,
9054502255,9054502256,133803,0,0,
1834057796,4821904315,133648,0,0,
1424618961,6475195004,133295,0,0,
